raceId,driverId,lap,position,time,milliseconds
989,843,57,15,1:28.176,88176
989,843,56,15,1:28.493,88493
989,843,55,15,1:28.326,88326
989,843,54,15,1:28.255,88255
989,843,53,15,1:28.298,88298
989,843,52,15,1:28.681,88681
989,843,51,15,1:29.193,89193
989,843,50,15,1:32.205,92205
989,843,49,15,1:30.014,90014
989,843,48,15,1:33.670,93670
989,843,47,15,1:29.360,89360
989,843,46,15,1:29.353,89353
989,843,45,15,1:29.347,89347
989,843,44,15,1:29.400,89400
989,843,43,15,1:29.756,89756
989,843,42,15,1:29.867,89867
989,843,41,15,1:29.928,89928
989,843,40,15,1:30.010,90010
989,843,39,15,1:29.676,89676
989,843,38,15,1:30.088,90088
989,843,37,15,1:30.289,90289
989,843,36,15,1:30.434,90434
989,843,35,15,1:30.592,90592
989,843,34,15,1:30.687,90687
989,843,33,15,1:31.311,91311
989,843,32,15,1:30.720,90720
989,843,31,15,1:31.737,91737
989,843,30,15,1:32.869,92869
989,843,29,15,1:51.634,111634
989,843,28,15,2:04.593,124593
989,843,27,15,2:04.405,124405
989,843,26,15,2:03.747,123747
989,843,25,15,2:04.565,124565
989,843,24,16,1:29.513,89513
989,843,23,16,1:38.833,98833
989,843,22,17,2:01.527,121527
989,843,21,16,1:31.803,91803
989,843,20,16,1:30.885,90885
989,843,19,17,1:31.105,91105
989,843,18,17,1:31.041,91041
989,843,17,17,1:30.955,90955
989,843,16,17,1:30.939,90939
989,843,15,17,1:31.200,91200
989,843,14,17,1:31.228,91228
989,843,13,18,1:31.441,91441
989,843,12,18,1:31.248,91248
989,843,11,18,1:31.018,91018
989,843,10,18,1:31.053,91053
989,843,9,18,1:31.047,91047
989,843,8,18,1:31.160,91160
989,843,7,18,1:31.597,91597
989,843,6,18,1:32.111,92111
989,843,5,19,1:31.481,91481
989,843,4,20,1:31.182,91182
989,843,3,20,1:30.888,90888
989,843,2,20,1:37.241,97241
989,843,1,20,2:05.584,125584
989,845,4,19,1:32.943,92943
989,845,3,19,1:32.573,92573
989,845,2,19,1:34.137,94137
989,845,1,19,1:46.494,106494
989,844,58,13,1:29.944,89944
989,844,57,13,1:29.001,89001
989,844,56,13,1:28.759,88759
989,844,55,13,1:29.003,89003
989,844,54,13,1:28.985,88985
989,844,53,13,1:29.607,89607
989,844,52,13,1:29.324,89324
989,844,51,13,1:29.155,89155
989,844,50,13,1:29.907,89907
989,844,49,13,1:29.841,89841
989,844,48,13,1:28.971,88971
989,844,47,13,1:29.168,89168
989,844,46,13,1:29.720,89720
989,844,45,13,1:29.687,89687
989,844,44,13,1:29.575,89575
989,844,43,13,1:29.293,89293
989,844,42,13,1:29.411,89411
989,844,41,13,1:30.081,90081
989,844,40,13,1:30.176,90176
989,844,39,13,1:29.481,89481
989,844,38,13,1:29.508,89508
989,844,37,13,1:29.947,89947
989,844,36,13,1:29.899,89899
989,844,35,13,1:29.902,89902
989,844,34,13,1:30.101,90101
989,844,33,13,1:30.999,90999
989,844,32,13,1:32.471,92471
989,844,31,14,1:42.931,102931
989,844,30,14,1:32.591,92591
989,844,29,14,1:35.511,95511
989,844,28,14,2:09.670,129670
989,844,27,14,2:19.646,139646
989,844,26,14,2:03.322,123322
989,844,25,14,1:51.623,111623
989,844,24,15,1:29.323,89323
989,844,23,15,1:29.968,89968
989,844,22,16,1:33.591,93591
989,844,21,17,1:34.359,94359
989,844,20,17,1:48.767,108767
989,844,19,16,1:30.386,90386
989,844,18,16,1:30.107,90107
989,844,17,16,1:30.529,90529
989,844,16,16,1:30.314,90314
989,844,15,16,1:30.577,90577
989,844,14,16,1:30.949,90949
989,844,13,17,1:30.265,90265
989,844,12,17,1:30.892,90892
989,844,11,17,1:31.145,91145
989,844,10,17,1:30.977,90977
989,844,9,17,1:31.287,91287
989,844,8,17,1:31.859,91859
989,844,7,17,1:32.043,92043
989,844,6,17,1:37.515,97515
989,844,5,18,1:32.087,92087
989,844,4,18,1:33.128,93128
989,844,3,18,1:32.405,92405
989,844,2,18,1:33.775,93775
989,844,1,18,1:45.584,105584
989,842,13,16,1:30.649,90649
989,842,12,16,1:30.743,90743
989,842,11,16,1:30.937,90937
989,842,10,16,1:31.136,91136
989,842,9,16,1:31.141,91141
989,842,8,16,1:31.319,91319
989,842,7,16,1:31.537,91537
989,842,6,16,1:38.180,98180
989,842,5,17,1:32.332,92332
989,842,4,17,1:32.184,92184
989,842,3,17,1:32.861,92861
989,842,2,17,1:33.372,93372
989,842,1,17,1:45.060,105060
989,828,5,16,1:32.289,92289
989,828,4,16,1:32.210,92210
989,828,3,16,1:32.746,92746
989,828,2,16,1:33.177,93177
989,828,1,16,1:44.674,104674
989,822,58,8,1:29.446,89446
989,822,57,8,1:27.965,87965
989,822,56,8,1:27.166,87166
989,822,55,8,1:27.275,87275
989,822,54,8,1:27.019,87019
989,822,53,8,1:27.264,87264
989,822,52,8,1:27.370,87370
989,822,51,8,1:27.572,87572
989,822,50,8,1:28.481,88481
989,822,49,8,1:28.574,88574
989,822,48,8,1:28.351,88351
989,822,47,8,1:27.123,87123
989,822,46,8,1:28.000,88000
989,822,45,8,1:28.599,88599
989,822,44,8,1:28.476,88476
989,822,43,8,1:28.047,88047
989,822,42,8,1:27.308,87308
989,822,41,8,1:27.969,87969
989,822,40,8,1:28.734,88734
989,822,39,8,1:28.336,88336
989,822,38,8,1:28.063,88063
989,822,37,8,1:28.130,88130
989,822,36,8,1:28.279,88279
989,822,35,8,1:28.515,88515
989,822,34,9,1:29.247,89247
989,822,33,9,1:29.773,89773
989,822,32,9,1:31.274,91274
989,822,31,9,2:08.943,128943
989,822,30,9,1:56.443,116443
989,822,29,9,1:43.421,103421
989,822,28,9,2:02.533,122533
989,822,27,9,2:04.496,124496
989,822,26,9,2:08.176,128176
989,822,25,9,1:46.549,106549
989,822,24,8,1:31.157,91157
989,822,23,10,1:30.258,90258
989,822,22,11,1:31.341,91341
989,822,21,12,1:29.729,89729
989,822,20,13,1:30.657,90657
989,822,19,13,1:31.023,91023
989,822,18,13,1:30.287,90287
989,822,17,13,1:30.537,90537
989,822,16,13,1:30.061,90061
989,822,15,13,1:30.661,90661
989,822,14,13,1:30.548,90548
989,822,13,13,1:30.097,90097
989,822,12,13,1:30.133,90133
989,822,11,13,1:30.003,90003
989,822,10,13,1:30.229,90229
989,822,9,13,1:30.756,90756
989,822,8,14,1:31.571,91571
989,822,7,14,1:31.057,91057
989,822,6,14,1:31.554,91554
989,822,5,14,1:31.530,91530
989,822,4,14,1:31.848,91848
989,822,3,15,1:32.580,92580
989,822,2,15,1:33.264,93264
989,822,1,15,1:43.824,103824
989,840,58,14,1:31.291,91291
989,840,57,14,1:28.638,88638
989,840,56,14,1:28.689,88689
